horizon,target_portfolio_annual_vol,annual_drift,n_events,tp,fn,fp,tn,true_positive_rate,false_negative_rate,false_positive_rate,true_negative_rate,precision,label_positive_rate,true_drift_event_rate,balanced_accuracy,pt_hit_share,sl_hit_share,vertical_hit_share,avg_time_to_pt,avg_time_to_sl
30,0.1,0.3,124500.0,7904.666666666667,16995.333333333332,29079.666666666668,70520.33333333333,0.31745649263721554,0.6825435073627845,0.2919645247657296,0.7080354752342704,0.21372685127750857,0.2970629183400268,0.20000000000000004,0.512745983935743,0.2970629183400268,0.21258902275769745,0.4903480589022758,15.03595528746736,18.104125341301593
30,0.1,0.5,124500.0,8394.333333333334,16505.666666666668,29079.666666666668,70520.33333333333,0.3371218206157965,0.6628781793842035,0.2919645247657296,0.7080354752342704,0.22400409279569003,0.30099598393574295,0.20000000000000004,0.5225786479250335,0.30099598393574295,0.20961178045515394,0.4893922356091031,15.04795394260065,18.097722789745774
30,0.1,0.7,124500.0,8875.666666666666,16024.333333333334,29079.666666666668,70520.33333333333,0.3564524765729585,0.6435475234270415,0.2919645247657296,0.7080354752342704,0.2338465656556942,0.30486211512717537,0.20000000000000004,0.5322439759036145,0.30486211512717537,0.20687282463186077,0.4882650602409639,15.04942222493341,18.096267465122907
30,0.1,0.9,124500.0,9387.666666666666,15512.333333333334,29079.666666666668,70520.33333333333,0.37701472556894244,0.6229852744310577,0.2919645247657296,0.7080354752342704,0.24404406347744215,0.30897456492637215,0.20000000000000004,0.5425251004016064,0.30897456492637215,0.20426506024096383,0.48676037483266404,15.05212276253011,18.094356595868337
30,0.14,0.1,124500.0,7339.0,17561.0,28962.0,70638.0,0.2947389558232932,0.7052610441767069,0.2907831325301205,0.7092168674698796,0.20216783109395672,0.291574297188755,0.20000000000000004,0.5019779116465863,0.291574297188755,0.16590896921017403,0.5425167336010709,14.531614212597189,18.621009219975978
30,0.14,0.3,124500.0,7671.333333333333,17228.666666666668,28962.0,70638.0,0.30808567603748327,0.6919143239625166,0.2907831325301205,0.7092168674698796,0.20940642924768263,0.294243641231593,0.20000000000000004,0.5086512717536814,0.294243641231593,0.1639946452476573,0.5417617135207496,14.537729702430175,18.62109070283194
30,0.14,0.5,124500.0,8024.666666666667,16875.333333333332,28962.0,70638.0,0.32227576974564925,0.6777242302543507,0.2907831325301205,0.7092168674698796,0.21695930557049858,0.2970816599732262,0.20000000000000004,0.5157463186077643,0.2970816599732262,0.16214993306559572,0.540768406961178,14.548829170991334,18.619807462456926
30,0.14,0.7,124500.0,8372.666666666666,16527.333333333332,28962.0,70638.0,0.3362516733601071,0.6637483266398929,0.2907831325301205,0.7092168674698796,0.22425749194809239,0.2998768406961178,0.20000000000000004,0.5227342704149933,0.2998768406961178,0.16027309236947793,0.5398500669344043,14.554351233318549,18.61675632496473
30,0.14,0.9,124500.0,8713.333333333334,16186.666666666666,28962.0,70638.0,0.3499330655957162,0.6500669344042839,0.2907831325301205,0.7092168674698796,0.23127460223455007,0.3026131191432396,0.20000000000000004,0.5295749665327979,0.3026131191432396,0.15857295850066933,0.538813922356091,14.556161195087478,18.614836720612605
30,0.18,0.1,124500.0,7228.666666666667,17671.333333333332,28612.333333333332,70987.66666666667,0.2903078982597055,0.7096921017402945,0.2872724230254351,0.712727576974565,0.2016842293854683,0.2878795180722891,0.20000000000000004,0.5015177376171353,0.2878795180722891,0.11409370816599733,0.5980267737617134,14.033165019392143,18.837918533362735
30,0.18,0.3,124500.0,7489.333333333333,17410.666666666668,28612.333333333332,70987.66666666667,0.3007764390896921,0.6992235609103079,0.2872724230254351,0.712727576974565,0.2074490826047766,0.2899732262382865,0.20000000000000004,0.5067520080321285,0.2899732262382865,0.11275769745649263,0.5972690763052209,14.041362753097161,18.830128523645115
30,0.18,0.5,124500.0,7742.0,17158.0,28612.333333333332,70987.66666666667,0.31092369477911647,0.6890763052208836,0.2872724230254351,0.712727576974565,0.21295749253439064,0.29200267737617136,0.20000000000000004,0.5118256358768406,0.29200267737617136,0.11162784471218207,0.5963694779116465,14.047747922435525,18.831049727336904
30,0.18,0.7,124500.0,8002.333333333333,16897.666666666668,28612.333333333332,70987.66666666667,0.3213788487282463,0.6786211512717536,0.2872724230254351,0.712727576974565,0.21855419792968891,0.29409370816599734,0.20000000000000004,0.5170532128514056,0.29409370816599734,0.11051137884872825,0.5953949129852744,14.05300609618123,18.83469306021847
30,0.18,0.9,124500.0,8263.0,16637.0,28612.333333333332,70987.66666666667,0.33184738955823295,0.6681526104417671,0.2872724230254351,0.712727576974565,0.2240797496471425,0.29618741633199464,0.20000000000000004,0.522287483266399,0.29618741633199464,0.10947255689424364,0.5943400267737617,14.062006483052487,18.8323115303372
30,0.2,0.1,124500.0,7169.666666666667,17730.333333333332,28386.333333333332,71213.66666666667,0.2879384203480589,0.7120615796519411,0.28500334672021416,0.7149966532797857,0.20164012874476836,0.28559036144578315,0.20000000000000004,0.5014675368139224,0.28559036144578315,0.09300401606425703,0.6214056224899598,13.801790543281774,18.875122068227448
30,0.2,0.3,124500.0,7384.666666666667,17515.333333333332,28386.333333333332,71213.66666666667,0.29657295850066934,0.7034270414993307,0.28500334672021416,0.7149966532797857,0.2064410012105634,0.2873172690763052,0.20000000000000004,0.5057848058902276,0.2873172690763052,0.0920508701472557,0.6206318607764391,13.809370714712406,18.87482032648538
30,0.2,0.5,124500.0,7616.0,17284.0,28386.333333333332,71213.66666666667,0.3058634538152611,0.694136546184739,0.28500334672021416,0.7149966532797857,0.2115395072019903,0.28917536813922357,0.20000000000000004,0.5104300535475234,0.28917536813922357,0.09114859437751004,0.6196760374832664,13.81760510603444,18.874483340629997
30,0.2,0.7,124500.0,7848.666666666667,17051.333333333332,28386.333333333332,71213.66666666667,0.3152074966532798,0.6847925033467203,0.28500334672021416,0.7149966532797857,0.2166034368532231,0.2910441767068273,0.20000000000000004,0.5151020749665328,0.2910441767068273,0.09023828647925032,0.6187175368139224,13.824949547545552,18.877164030622584
30,0.2,0.9,124500.0,8079.666666666667,16820.333333333332,28386.333333333332,71213.66666666667,0.3244846050870147,0.6755153949129853,0.28500334672021416,0.7149966532797857,0.22156608442518952,0.2928995983935743,0.20000000000000004,0.5197406291834002,0.2928995983935743,0.08949397590361446,0.6176064257028112,13.83121703073079,18.87794232115831
60,0.02,0.1,124000.0,9033.666666666666,15766.333333333334,29661.333333333332,69538.66666666667,0.36426075268817204,0.635739247311828,0.299005376344086,0.700994623655914,0.23345783687084262,0.31205645161290324,0.20000000000000004,0.532627688172043,0.31205645161290324,0.2671102150537634,0.42083333333333334,30.92869502971438,32.83344963961688
60,0.02,0.3,124000.0,12695.0,12105.0,29661.333333333332,69538.66666666667,0.5118951612903225,0.4881048387096774,0.299005376344086,0.700994623655914,0.29972428304364157,0.34158333333333335,0.20000000000000004,0.6064448924731183,0.34158333333333335,0.24975,0.4086666666666667,30.771583297047812,32.775686972581695
60,0.02,0.5,124000.0,16092.0,8708.0,29661.333333333332,69538.66666666667,0.6488709677419355,0.3511290322580645,0.299005376344086,0.700994623655914,0.35170622803665846,0.3689784946236559,0.20000000000000004,0.6749327956989247,0.3689784946236559,0.23888978494623658,0.3921317204301076,30.25688828547327,32.73677569934181
60,0.02,0.7,124000.0,18789.666666666668,6010.333333333333,29661.333333333332,69538.66666666667,0.7576478494623656,0.2423521505376344,0.299005376344086,0.700994623655914,0.3878029309746789,0.3907338709677419,0.20000000000000004,0.7293212365591398,0.3907338709677419,0.2325725806451613,0.3766935483870968,29.47874138810664,32.74928319109489
60,0.02,0.9,124000.0,20818.0,3982.0,29661.333333333332,69538.66666666667,0.8394354838709678,0.16056451612903225,0.299005376344086,0.700994623655914,0.41240237195989365,0.40709139784946236,0.20000000000000004,0.7702150537634408,0.40709139784946236,0.22864516129032256,0.36426344086021506,28.62422621481871,32.78039031493009
60,0.06,0.1,124000.0,8071.0,16729.0,30303.333333333332,68896.66666666667,0.32544354838709677,0.6745564516129031,0.3054771505376344,0.6945228494623655,0.21032124867872937,0.3094704301075269,0.20000000000000004,0.5099831989247311,0.3094704301075269,0.2346478494623656,0.4558817204301075,29.270376844163355,35.056838549881085
60,0.06,0.3,124000.0,9189.333333333334,15610.666666666666,30303.333333333332,68896.66666666667,0.37053763440860216,0.6294623655913978,0.3054771505376344,0.6945228494623655,0.2326844919069385,0.3184892473118279,0.20000000000000004,0.5325302419354839,0.3184892473118279,0.22783064516129034,0.4536801075268817,29.28399214854267,35.051921818279546
60,0.06,0.5,124000.0,10395.0,14405.0,30303.333333333332,68896.66666666667,0.41915322580645165,0.5808467741935485,0.3054771505376344,0.6945228494623655,0.25541717214483967,0.3282123655913978,0.20000000000000004,0.5568380376344085,0.3282123655913978,0.22175,0.4500376344086021,29.294564601137036,35.04404412646172
60,0.06,0.7,124000.0,11627.666666666666,13172.333333333334,30303.333333333332,68896.66666666667,0.4688575268817204,0.5311424731182796,0.3054771505376344,0.6945228494623655,0.27730900078689474,0.33815322580645163,0.20000000000000004,0.581690188172043,0.33815322580645163,0.21636827956989246,0.4454784946236559,29.266228775183322,35.00998359594109
