sim,seed,horizon,target_portfolio_annual_vol,annual_drift,n_events,tp,fn,fp,tn,true_positive_rate,false_negative_rate,false_positive_rate,true_negative_rate,precision,label_positive_rate,true_drift_event_rate,balanced_accuracy,pt_hit_share,sl_hit_share,vertical_hit_share,avg_time_to_pt,avg_time_to_sl
2,20002,90,0.02,0.9,124000,22380,2420,30412,68788,0.9024193548387097,0.09758064516129032,0.3065725806451613,0.6934274193548388,0.42392786785876646,0.42574193548387096,0.2,0.7979233870967742,0.42574193548387096,0.22612903225806452,0.3481290322580645,40.65150022730717,49.125570613409415
2,20002,150,0.02,0.9,123000,23577,1023,30962,67438,0.9584146341463414,0.04158536585365854,0.31465447154471543,0.6853455284552845,0.4322961550450137,0.4434065040650407,0.2,0.8218800813008129,0.4434065040650407,0.22289430894308943,0.3336991869918699,62.8062670749372,82.1190545666764
0,20000,30,0.06,0.1,124500,7442,17458,28659,70941,0.29887550200803215,0.7011244979919679,0.2877409638554217,0.7122590361445783,0.2061438741309105,0.2899678714859438,0.2,0.5055672690763052,0.2899678714859438,0.2516305220883534,0.4584016064257028,15.577518628292845,17.356007405515832
0,20000,60,0.06,0.1,124000,7974,16826,30036,69164,0.32153225806451613,0.6784677419354839,0.30278225806451614,0.6972177419354839,0.20978689818468824,0.3065322580645161,0.2,0.509375,0.3065322580645161,0.2364758064516129,0.45699193548387096,29.31991581162852,35.05040411963305
0,20000,90,0.06,0.1,124000,8250,16550,30778,68422,0.3326612903225806,0.6673387096774194,0.31026209677419353,0.6897379032258064,0.21138669673055244,0.31474193548387097,0.2,0.5111995967741936,0.31474193548387097,0.2196935483870968,0.46556451612903227,42.4889822691401,53.125541443359516
0,20000,150,0.06,0.1,123000,8427,16173,31010,67390,0.3425609756097561,0.6574390243902439,0.3151422764227642,0.6848577235772357,0.21368258234652737,0.3206260162601626,0.2,0.5137093495934959,0.3206260162601626,0.17895934959349594,0.5004146341463415,67.58678398458301,90.23555333454479
0,20000,30,0.06,0.3,124500,8279,16621,28659,70941,0.3324899598393574,0.6675100401606425,0.2877409638554217,0.7122590361445783,0.22413232985001896,0.2966907630522088,0.2,0.5223744979919679,0.2966907630522088,0.24603212851405623,0.4572771084337349,15.600601007092967,17.35059253697235
0,20000,60,0.06,0.3,124000,9108,15692,30036,69164,0.367258064516129,0.6327419354838709,0.30278225806451614,0.6972177419354839,0.2326793378295524,0.31567741935483873,0.2,0.5322379032258064,0.31567741935483873,0.22934677419354838,0.4549758064516129,29.344880441446964,35.01863637961954
0,20000,90,0.06,0.3,124000,9735,15065,30778,68422,0.39254032258064514,0.6074596774193548,0.31026209677419353,0.6897379032258064,0.24029323920716808,0.32671774193548386,0.2,0.5411391129032258,0.32671774193548386,0.21120967741935484,0.46207258064516127,42.5732727766396,53.119663993890796
0,20000,150,0.06,0.3,123000,10380,14220,31010,67390,0.4219512195121951,0.5780487804878048,0.3151422764227642,0.6848577235772357,0.2507852138197632,0.3365040650406504,0.2,0.5534044715447154,0.3365040650406504,0.16983739837398373,0.49365853658536585,67.73254409277604,90.12867400670177
0,20000,30,0.06,0.5,124500,9131,15769,28659,70941,0.3667068273092369,0.633293172690763,0.2877409638554217,0.7122590361445783,0.24162476845726383,0.3035341365461847,0.2,0.5394829317269076,0.3035341365461847,0.2413012048192771,0.45516465863453814,15.604472082561525,17.352772784767993
0,20000,60,0.06,0.5,124000,10344,14456,30036,69164,0.4170967741935484,0.5829032258064516,0.30278225806451614,0.6972177419354839,0.25616641901931647,0.32564516129032256,0.2,0.5571572580645161,0.32564516129032256,0.22332258064516128,0.45103225806451613,29.332317979197622,35.01029178101979
0,20000,90,0.06,0.5,124000,11296,13504,30778,68422,0.45548387096774196,0.5445161290322581,0.31026209677419353,0.6897379032258064,0.2684793459143414,0.33930645161290324,0.2,0.5726108870967742,0.33930645161290324,0.20454032258064517,0.4561532258064516,42.60928364310501,53.14588179631747
