sim,seed,equal_weight_ann_vol,individual_ann_vol_avg,individual_ann_vol_median,individual_ann_vol_min,individual_ann_vol_max,avg_pairwise_corr
38,20038,0.10014145423449385,1.3558441986164278,1.4156482817078406,0.4098212426336005,1.9525071145505364,0.004268431540079955
39,20039,0.09985396857734993,1.357455483341835,1.4160378065655395,0.40397209325149297,1.978486274570745,0.004173741200846382
40,20040,0.09827955037775397,1.3562486967611427,1.4146093097379078,0.4059909149634102,1.9614724755900392,0.004023634624818657
41,20041,0.09971659163340191,1.3568035131231921,1.4092481615396133,0.405706757095746,1.9725449894664944,0.004134101813797137
42,20042,0.10065189395865533,1.356998689351263,1.4129191562587966,0.4082335118965935,1.9751351015756073,0.004271556180203891
43,20043,0.09917026087045366,1.3574525610461405,1.4117736089974269,0.40425446427611905,1.9649784711502296,0.004114921896030283
44,20044,0.10022672913830673,1.3568269767838652,1.419032045997806,0.4082920440170045,1.9684200320917962,0.004216935483207664
45,20045,0.10018644404505667,1.356308261253852,1.41628102223113,0.40695779549547345,1.9589711217478243,0.004207248247302392
46,20046,0.09997544873211012,1.3560926910299127,1.4106757820858093,0.40827270624087825,1.9698617486155428,0.004234147758471741
47,20047,0.10015181572434996,1.356872324993341,1.4097626828573446,0.4133196468523777,1.971931303186331,0.004258689910028338
48,20048,0.10017262361126422,1.355872640515382,1.4130853495316291,0.40878902194060096,1.9752796603224865,0.004232780271701462
49,20049,0.09955101342955222,1.3562351949977838,1.4176807331684365,0.39855951065370154,1.9752522786533206,0.004167531609916539
50,20050,0.09886093231632885,1.3563743824521899,1.4167524205374613,0.4093610967066488,1.963563809593144,0.004093903750828645
51,20051,0.09943135973491948,1.3564925448259995,1.4160571831783324,0.40227215838006636,1.95885534376278,0.0041690519574526215
52,20052,0.0983830047231685,1.3564122419269262,1.4163478597340597,0.40620407836845035,1.9685402987975933,0.00401415889446744
53,20053,0.09904858186230049,1.3563969360537946,1.4130687606030823,0.4096847986376811,1.9925953148991835,0.004090998083645176
54,20054,0.10048582233267699,1.356983693248631,1.4124984689618352,0.4090493509552636,1.9736111315914535,0.004268981978925417
55,20055,0.09932947686393367,1.3566044737561802,1.4164958814682116,0.40896207309627447,1.97116910907411,0.004109741022218677
56,20056,0.09953693080255047,1.3572645645510202,1.4156459771433387,0.4094453187886509,1.9736095168408632,0.004171933150487489
57,20057,0.10086726052787409,1.3565614638027008,1.4102346528745389,0.40603996182139684,1.9686093706407704,0.004307798338047565
58,20058,0.09958509104184966,1.3575871270017477,1.417971626319881,0.40968460933214695,1.9894214974979274,0.004192709568933033
59,20059,0.0994571442628055,1.3553746155857824,1.4194807977031512,0.40481577047454703,1.96357560699737,0.004164655404344017
60,20060,0.10019323327359188,1.355742281292942,1.4132849504801186,0.4104545272094924,1.9789425822747366,0.004226914434724937
61,20061,0.09951871487222227,1.3569471113584788,1.4105144053361949,0.40684466697739247,1.9614966410542194,0.004151589745767719
62,20062,0.1000396304730477,1.3574443073124345,1.4122930533206213,0.4083698900720389,1.9778005708738058,0.004183296683229514
63,20063,0.10027832500163358,1.3565332911315946,1.4161722533135546,0.40867742195997847,1.9844910523612367,0.004235627156098752
